timestamp,open,high,low,close
2018-10-20,6442.05531155,6497.19986966,6429.46810075,6489.16968154
2018-10-19,6502.54255713,6513.31381755,6440.85563336,6443.59821772
2018-10-18,6567.98688084,6595.40085957,6448.02025733,6498.37267454
2018-10-17,6626.86746673,6630.71099036,6514.29439082,6540.98905599
2018-10-16,6614.84517502,6705.95074624,6564.33308992,6615.21872304
2018-10-15,6284.82070113,7035.2115959,6241.09379342,6613.71080922
2018-10-14,6249.66516232,6337.7066384,6246.32671105,6282.56544136
2018-10-13,6265.44942102,6296.53737513,6232.15812852,6245.56502557
2018-10-12,6208.9008933,6301.74811645,6195.93409795,6246.0161118
2018-10-11,6576.5681045,6576.92541983,6191.91529764,6228.87043888
2018-10-10,6619.9053634,6639.16504957,6528.88449931,6577.59820344
2018-10-09,6657.39202206,6666.67838397,6584.23027083,6617.30268565
2018-10-08,6596.81869026,6687.7037197,6556.05778156,6656.37508543
2018-10-07,6567.51096002,6610.72935479,6514.78925255,6591.5776855
2018-10-06,6627.37511818,6627.82803381,6557.93985745,6589.33176365
2018-10-05,6563.10559784,6636.47900629,6544.90196337,6626.9359544
2018-10-04,6504.63432349,6614.67787185,6487.41321908,6557.96350838
2018-10-03,6529.85403788,6548.97370719,6437.64305915,6490.56723447
2018-10-02,6598.99090617,6620.13990959,6511.96267323,6542.04345297
2018-10-01,6608.85850258,6661.4543128,6533.91790822,6581.95220852
2018-09-30,6598.83849089,6654.30324708,6551.36000675,6630.37019087
2018-09-29,6640.3673519,6640.3673519,6488.78946878,6604.28257681
2018-09-28,6699.58379739,6794.57349996,6576.24874371,6635.1872506
2018-09-27,6479.9998868,6723.02987651,6443.378172,6684.70938949
2018-09-26,6437.33146995,6556.87640497,6390.9069606,6474.58160941
2018-09-25,6604.79431469,6604.79431469,6362.45985566,6439.56257032
2018-09-24,6701.08394763,6730.13030634,6578.52399754,6601.14291014
2018-09-23,6722.71832132,6771.41782755,6676.83819429,6702.90464229
2018-09-22,6749.46214298,6805.30033511,6658.47640738,6721.98452917
2018-09-21,6513.08517594,6769.6548766,6498.78462372,6754.67772598
2018-09-20,6394.13284058,6542.24723789,6384.58418354,6512.75494432
2018-09-19,6355.52282404,6484.68848505,6171.67378219,6400.64083224
2018-09-18,6273.82080302,6387.14166817,6249.28346482,6353.99526239
2018-09-17,6522.10946928,6549.08102931,6235.50549147,6273.4174209
2018-09-16,6551.15763125,6551.15763125,6447.65046366,6501.49901345
2018-09-15,6488.87020301,6561.9792821,6480.30580487,6524.67067555
2018-09-14,6488.63110479,6583.66857189,6428.99324977,6492.36704562
2018-09-13,6345.97300117,6525.52343672,6337.7464848,6498.65153172
2018-09-12,6296.14028534,6349.48123257,6238.57793424,6339.01032166
2018-09-11,6320.53580996,6391.36506444,6241.45280743,6289.96127905
2018-09-10,6270.84812734,6351.21393033,6263.04825642,6317.64690575
2018-09-09,6202.27115838,6417.67463311,6178.90724888,6260.21630907
2018-09-08,6426.21981944,6485.85033908,6147.69113989,6203.58845719
2018-09-07,6514.68997441,6544.67245388,6378.35066813,6446.21011185
2018-09-06,6715.50750546,6715.50750546,6365.00016743,6503.56429735
2018-09-05,7365.23164498,7391.96679524,6704.71475914,6704.71475914
2018-09-04,7269.06656476,7394.17914813,7251.26875101,7364.44304581
2018-09-03,7286.20460159,7334.48086289,7201.41872631,7255.24079169
2018-09-02,7203.63003775,7314.28946177,7136.56098162,7277.19919306
2018-09-01,7040.91116448,7257.57074469,7030.79042096,7193.12246679
2018-08-31,6982.22483475,7075.41691134,6915.93477952,7046.78303475
2018-08-30,7050.26748358,7068.23231015,6740.64775296,6985.97553485
2018-08-29,7083.94041164,7126.16688213,6960.89645268,7040.04581263
2018-08-28,6895.96202261,7132.6258675,6876.94124233,7084.51901362
2018-08-27,6727.99365712,6902.47153692,6656.81489204,6902.47153692
2018-08-26,6756.99963702,6780.64308851,6591.38842031,6729.41221601
2018-08-25,6676.75329602,6772.24564592,6670.99550873,6748.21414819
2018-08-24,6530.73845249,6704.01369874,6491.51352373,6693.30788869
2018-08-23,6374.52358651,6541.872548,6363.43837251,6530.66522891
2018-08-22,6482.72834231,6782.33704277,6309.38619177,6369.81019672
2018-08-21,6301.20550076,6498.23612391,6300.84812577,6473.85384868
2018-08-20,6475.57517132,6518.90809433,6293.0986865,6310.51821252
2018-08-19,6411.55896135,6516.80520259,6359.15394415,6488.41202577
2018-08-18,6584.85906364,6611.16315568,6346.90695975,6418.43716667
2018-08-17,6326.10552879,6578.94705862,6309.80636167,6578.94705862
2018-08-16,6280.55003088,6477.56823438,6237.41999972,6322.61420485
2018-08-15,6198.0630784,6595.48706985,6198.0630784,6288.04626781
2018-08-14,6272.69904802,6272.69904802,5934.43231701,6202.19991566
2018-08-13,6323.31344911,6496.22723183,6188.65787617,6274.7676068
2018-08-12,6253.02815108,6429.06298347,6199.08724347,6330.03454277
2018-08-11,6162.72506076,6451.68332332,6062.23064344,6275.25287495
2018-08-10,6546.743112,6572.10873215,6071.41450474,6165.02886932
2018-08-09,6284.99900755,6616.67634963,6228.35655218,6548.04055443
2018-08-08,6737.78347387,6737.78347387,6197.26209997,6271.18103145
2018-08-07,6950.16700106,7142.69779035,6718.37225124,6730.3463785
2018-08-06,7052.73104063,7151.91141695,6874.11650887,6944.98718708
2018-08-05,7017.77681743,7088.09021857,6921.93523864,7044.08904097
2018-08-04,7426.3430436,7491.0439381,6970.05276091,7013.11355544
2018-08-03,7549.38152013,7549.38152013,7311.13591927,7421.93900489
2018-08-02,7611.88140093,7696.49048512,7503.37464975,7553.60622647
2018-08-01,7742.83883076,7757.32199605,7463.62547311,7610.51252298
2018-07-31,8177.8110735,8177.8110735,7666.98531405,7752.9686645
2018-07-30,8214.98601708,8241.23480669,7881.06998374,8180.93000635
2018-07-29,8217.16188479,8272.00058553,8129.98828057,8211.75844822
2018-07-28,8185.14291726,8226.68830471,8085.95972598,8190.11748672
2018-07-27,7958.56105761,8266.52613658,7829.99804279,8161.90322246
2018-07-26,8174.12818647,8298.24356258,7891.33081042,7959.21988897
2018-07-25,8380.56739832,8456.56225937,8080.48099091,8180.32125737
2018-07-24,7728.82728429,8418.39923608,7710.80135502,8407.79531239
2018-07-23,7422.47706776,7776.22476007,7408.49267459,7721.92490928
2018-07-22,7422.45990931,7567.51041031,7392.60733796,7425.79046231
2018-07-21,7346.15110724,7448.77869679,7253.1650471,7424.29955259
2018-07-20,7484.28514946,7625.24843901,7304.60137699,7348.91089276
2018-07-19,7392.08567455,7537.85576617,7308.61583727,7475.40689152
2018-07-18,7336.23399434,7574.26166885,7281.11753512,7393.81792842
2018-07-17,6742.61301374,7403.03917745,6681.80928963,7341.35947304
2018-07-16,6385.32974436,6756.4192309,6377.26806187,6756.4192309
2018-07-15,6283.41041255,6416.97342083,6263.32567014,6370.69156202
2018-07-14,6249.79230115,6309.34967891,6214.74363288,6287.34536857
2018-07-13,6257.14288055,6337.76843951,6185.68247075,6252.54430099
2018-07-12,6430.14038792,6430.14038792,6139.427175,6238.16187736
2018-07-11,6331.36349329,6429.8800724,6328.4582099,6423.04042267
2018-07-10,6704.05221288,6704.05221288,6323.50083729,6330.18659771
2018-07-09,6737.14507576,6783.89992185,6683.20030264,6708.48141789
2018-07-08,6769.0622354,6784.58857204,6719.44908903,6737.46429176
2018-07-07,6627.58826273,6790.95169325,6551.5009911,6774.69022384
2018-07-06,6557.22020017,6636.53627348,6481.62240837,6636.53627348
2018-07-05,6605.38447748,6667.74884762,6493.06120623,6560.11114254
2018-07-04,6521.77352564,6739.4908867,6452.72755921,6586.69057728
2018-07-03,6618.62704493,6661.04610362,6494.85187842,6519.52895163
2018-07-02,6358.55948172,6662.98131056,6291.50386317,6615.20849047
2018-07-01,6397.47329024,6427.50395814,6293.01761156,6356.93308489
2018-06-30,6203.70259962,6464.04416599,6196.40525852,6394.86045141
2018-06-29,5888.69197887,6277.31903324,5836.96396904,6194.01375893
2018-06-28,6150.53529241,6172.8869251,5869.97054671,5895.26573763
2018-06-27,6102.07200136,6185.05151552,6044.11462498,6142.51936443
2018-06-26,6266.4199397,6287.45123567,6088.6587629,6092.15493851
2018-06-25,6160.82631277,6321.60209398,6114.58616698,6262.07588535
2018-06-24,6180.99460096,6240.90381972,5805.15177998,6163.31543221
2018-06-23,6061.95539775,6229.53441074,6047.27755948,6178.74777657
2018-06-22,6741.11275105,6750.36098422,5972.54893725,6064.99172248
2018-06-21,6774.76884489,6801.03856558,6709.61399874,6730.25209678
2018-06-20,6762.82375351,6791.81534704,6594.73310237,6759.16801501
2018-06-19,6724.83510913,6811.83721067,6681.1865161,6747.40853984
2018-06-18,6482.31269584,6785.6482659,6422.03106097,6713.93698858
2018-06-17,6517.83332878,6589.13748152,6468.6582242,6486.87077603
2018-06-16,6414.20947868,6564.5201547,6373.76230077,6524.45549793
2018-06-15,6658.28422081,6659.93276001,6412.56468082,6412.56468082
2018-06-14,6330.34212791,6699.15082489,6302.84351377,6664.31213752
2018-06-13,6576.41762728,6632.33963298,6201.24354402,6332.43869688
2018-06-12,6897.19440565,6897.19440565,6509.36611049,6590.81886592
2018-06-11,6780.46843293,6913.20351451,6677.38100259,6894.0632062
2018-06-10,7557.71645937,7557.71645937,6692.41233925,6767.85794367
