timestamp,open,high,low,close
2016-07-06,654.54,658.03,643.25,646.36
2016-07-05,652.23,656.16,647.23,654.54
2016-07-01,650.43,658.74,649.86,657.78
2016-06-30,636.01,650.43,631.0,650.43
2016-06-29,614.04,636.01,614.04,636.01
2016-06-28,598.22,617.03,598.22,614.04
2016-06-27,613.87,613.87,595.87,598.22
2016-06-24,633.81,633.86,578.87,613.87
2016-06-23,626.12,638.06,626.12,633.81
2016-06-22,622.66,631.56,622.2,626.12
2016-06-21,620.4,625.02,615.62,622.66
2016-06-20,602.11,623.65,602.11,620.4
2016-06-17,595.05,604.61,595.05,602.11
2016-06-16,596.68,596.68,590.0,595.05
2016-06-15,592.35,600.75,592.34,596.68
2016-06-14,604.5,604.5,592.17,592.35
2016-06-13,611.58,611.58,604.5,604.5
2016-06-10,623.19,623.19,609.72,611.58
2016-06-09,630.15,630.17,622.91,623.19
2016-06-08,628.45,630.45,626.38,630.15
2016-06-07,627.34,632.26,627.34,628.45
2016-06-06,620.96,630.16,620.96,627.34
2016-06-03,618.56,625.17,616.82,620.96
2016-06-02,619.19,622.03,617.31,618.56
2016-06-01,623.08,623.32,615.19,619.19
2016-05-31,627.08,629.01,623.01,623.08
2016-05-27,626.57,627.59,625.03,627.08
2016-05-26,626.29,628.17,624.35,626.57
2016-05-25,621.93,627.03,621.93,626.29
2016-05-24,613.64,623.19,610.96,621.93
2016-05-23,615.63,617.31,612.26,613.64
2016-05-20,605.34,615.65,605.34,615.63
2016-05-19,616.58,616.58,605.02,605.34
2016-05-18,616.78,616.93,611.6,616.58
2016-05-17,615.14,621.59,614.72,616.78
2016-05-16,613.85,615.72,609.22,615.14
2016-05-13,610.42,613.85,606.01,613.85
2016-05-12,616.25,619.32,609.41,610.42
2016-05-11,615.67,617.27,613.12,616.25
2016-05-10,611.48,618.02,611.48,615.67
2016-05-09,612.57,617.76,610.84,611.48
2016-05-06,611.73,612.99,605.47,612.57
2016-05-05,611.2,615.26,610.23,611.73
2016-05-04,618.56,618.56,610.08,611.2
2016-05-03,624.19,627.0,615.99,618.56
2016-05-02,0.0,0.0,0.0,0.0
2016-04-29,632.24,632.24,624.19,624.19
2016-04-28,631.99,632.24,622.45,632.24
2016-04-27,628.45,631.99,625.52,631.99
2016-04-26,626.09,629.79,626.09,628.45
2016-04-25,631.04,632.46,624.93,626.09
2016-04-22,638.14,638.16,628.93,631.04
2016-04-21,641.03,642.73,635.29,638.14
2016-04-20,640.54,642.19,636.74,641.03
2016-04-19,635.35,641.83,635.35,640.54
2016-04-18,634.38,635.49,626.17,635.35
2016-04-15,636.51,637.25,632.82,634.38
2016-04-14,636.29,637.39,633.54,636.51
2016-04-13,624.24,636.29,624.24,636.29
2016-04-12,620.01,624.83,617.63,624.24
2016-04-11,620.44,622.97,616.55,620.01
2016-04-08,613.69,621.63,613.69,620.44
2016-04-07,616.16,620.41,611.94,613.69
2016-04-06,609.12,616.16,609.12,616.16
2016-04-05,616.47,616.47,606.19,609.12
2016-04-04,614.61,620.2,613.29,616.47
2016-04-01,617.49,617.49,607.69,614.61
